"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Arduino_Nano_v3.x","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","Module:Arduino_Nano","1",""
"A2","Pololu_Breakout_A4988","https://www.pololu.com/product/2980/pictures","Module:Pololu_Breakout-16_15.2x20.3mm","1",""
"C1","100 uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C2","10 uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C3","100 nF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"C4","10 nF","~","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","1",""
"D1","LED","~","LED_THT:LED_D5.0mm","1",""
"F1","2A","~","LED_THT:LED_D5.0mm","1",""
"J1,J2","Conn_01x05_Male","~","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","2",""
"J3,J6","Conn_01x02_Male","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","2",""
"J4","Conn_01x04_Male","~","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"J5","Barrel_Jack_MountingPin","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"R1","820","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","AMS1117-5.0V","","Svens Custom Footprints:AMS1117-5.0V","1",""
